"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Final_Mediation_Resolution_Share","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Year","Mediation_Resolution_Share","Mediation_Resolved_Per_100_Cases","Mediation_Attempts_Per_100_Cases","Failed_Attempts_To_Trial_Per_100_Cases","Direct_To_Trial_Per_100_Cases","Trial_Resolved_Per_100_Cases","Mean_NPV_Savings_Per_100_Cases_USD","LB95_NPV_Savings_Per_100_Cases_USD","UB95_NPV_Savings_Per_100_Cases_USD","Mean_Months_Saved_Per_100_Cases","LB95_Months_Saved_Per_100_Cases","UB95_Months_Saved_Per_100_Cases","Mean_NPV_Savings_2000_Cases_USD","LB95_NPV_Savings_2000_Cases_USD","UB95_NPV_Savings_2000_Cases_USD","Mean_Years_Saved_2000_Cases","LB95_Years_Saved_2000_Cases","UB95_Years_Saved_2000_Cases"
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,9,0.739208274022745,74,77.8947368421053,3.89473684210526,22.1052631578947,26,785901.672097103,202545.629305342,1531175.01758749,1223.70060462686,389.349060096596,2148.06126121356,15718033.4419421,4050912.58610684,30623500.3517498,2039.50100771144,648.915100160993,3580.10210202261
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,10,0.745984289445429,75,78.9473684210526,3.94736842105263,21.0526315789474,25,756549.474530366,198131.161108727,1475956.56539389,1241.82383588866,383.903762301277,2170.97073197548,15130989.4906073,3962623.22217454,29519131.3078778,2069.70639314776,639.839603835462,3618.28455329246
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,1,0.119582861398382,12,12.6315789473684,0.631578947368421,87.3684210526316,88,100872.070325802,33440.9884281415,185954.761174886,306.828953909932,136.895629472223,474.28763329617,2017441.40651604,668819.768562829,3719095.22349771,511.381589849886,228.159382453705,790.479388826949
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,2,0.141586348246961,14,14.7368421052632,0.736842105263159,85.2631578947368,86,111793.193424547,37794.8197655399,206912.283118095,356.815450775473,154.940787654993,556.551758022237,2235863.86849093,755896.395310799,4138245.6623619,594.692417959122,258.234646091655,927.586263370394
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,3,0.183990807433038,18,18.9473684210526,0.947368421052634,81.0526315789474,82,137808.588192286,43580.6157077434,255128.005083921,456.375625366346,199.25149426417,711.251792757241,2756171.76384572,871612.314154869,5102560.10167842,760.626042277244,332.085823773616,1185.4196545954
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,4,0.255012759436194,26,27.3684210526316,1.36842105263158,72.6315789473684,74,187948.959586751,63905.3352949432,344913.85783095,661.561053347652,285.250961032366,1030.23215014593,3758979.19173501,1278106.70589886,6898277.15661899,1102.60175557942,475.418268387277,1717.05358357656
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,5,0.35,35,36.8421052631579,1.8421052631579,63.1578947368421,65,242725.790158653,81527.6624358477,444101.082266353,887.768467788783,383.99480414052,1387.61727857587,4854515.80317306,1630553.24871695,8882021.64532706,1479.61411298131,639.9913402342,2312.69546429312
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,6,0.444987240563806,44,46.3157894736842,2.31578947368421,53.6842105263158,56,290915.667379049,96128.7940938957,538141.908847519,1118.50076269644,481.595954114038,1750.18684189175,5818313.34758098,1922575.88187791,10762838.1769504,1864.1679378274,802.659923523396,2916.97806981958
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,7,0.516009192566962,52,54.7368421052632,2.73684210526316,45.2631578947368,48,328495.957028547,108499.33906645,599783.592060383,1322.528596299,577.795021725127,2053.93166485509,6569919.14057093,2169986.78132899,11995671.8412077,2204.21432716499,962.991702875211,3423.21944142516
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.6,1,1,8,0.558413651753039,56,58.9473684210526,2.94736842105264,41.0526315789474,44,337039.303580341,113760.050718234,619335.214800049,1424.58674640703,620.647949657198,2223.58104020582,6740786.07160681,2275201.01436469,12386704.296001,2374.31124401171,1034.41324942866,3705.96840034303
